nome,idade,cpf,rg,data_nasc,sexo,signo,mae,pai,email,senha,cep,endereco,numero,bairro,cidade,estado,telefone_fixo,celular,altura,peso,tipo_sanguineo,cor
Enrico Luan Luan Santos,34,11677622660,313397983,19/06/1989,Masculino,Gêmeos,Carolina Ayla,Cauê Erick Noah Santos,enricoluansantos@stilomovelaria.com.br,MzJ878X3a0,58046090,Rua Poeta Targino Teixeira,809,Altiplano Cabo Branco,João Pessoa,PB,8329431580,83993969848,"1,67",85,A-,laranja
Lara Jennifer Araújo,70,59808723616,420814176,18/05/1953,Feminino,Touro,Priscila Liz,Kaique Mário Vicente Araújo,larajenniferaraujo@brws.com.br,aiqHQyEBkB,68906172,Avenida França,345,São José,Macapá,AP,9636723122,96994822278,"1,77",83,O-,amarelo
Levi Hugo Breno Mendes,27,68725933345,368429015,02/06/1996,Masculino,Gêmeos,Maitê Fátima,Felipe Eduardo Lucas Mendes,levihugomendes@baptistas.com.br,woj5mNiDpQ,69305080,Rua Doutor Arnaldo Brandão,145,São Francisco,Boa Vista,RR,9535248478,95995552606,"1,86",90,A+,vermelho
Isabelly Silvana Valentina Lopes,32,73107879940,213837523,12/06/1991,Feminino,Gêmeos,Ana Priscila Raquel,Enzo Lorenzo Lopes,isabelly_silvana_lopes@i9tec.com.br,Befiam5dld,79310561,Alameda Riachuelo,714,Centro América,Corumbá,MS,6737001752,67991900722,"1,56",90,B-,vermelho
Fernanda Hadassa Sales,38,88387725412,327562511,25/08/1985,Feminino,Virgem,Caroline Agatha Vitória,Roberto Kevin Sales,fernandahadassasales@patriciagrillo.adv.br,UBnHYKE81h,77019026,Quadra 1103 Sul Alameda 9,485,Plano Diretor Sul,Palmas,TO,6328854251,63992260625,"1,83",73,A+,roxo
Carla Gabriela Freitas,75,63954876639,426611044,23/02/1948,Feminino,Peixes,Stefany Lavínia Gabrielly,Cláudio Severino Freitas,carlagabrielafreitas@hotmal.com,wmpeJzgm8l,08253120,Rua Antologia,288,Conjunto Residencial José Bonifácio,São Paulo,SP,1125291025,11987778097,"1,83",74,A+,laranja
Vera Alessandra Lúcia Almeida,33,31440308055,150515297,24/04/1990,Feminino,Touro,Isabela Jaqueline Gabriela,Paulo Enrico Almeida,vera_almeida@w3ag.com,wElh5k3urh,78145130,Rua Acre,832,Ikaray,Várzea Grande,MT,6529982015,65995004479,"1,66",68,B+,vermelho
Emily Milena Pinto,68,26439881833,452633485,26/09/1955,Feminino,Libra,Benedita Luciana Melissa,Igor Edson Pinto,emily.milena.pinto@bodyfast.com.br,ikl0Fw0cp0,77827420,Rua dos Coqueiros,245,Loteamento Araguaína Sul,Araguaína,TO,6335550861,63988222984,"1,55",82,B-,verde
Mateus Leandro Duarte,37,18277915276,229229700,23/05/1986,Masculino,Gêmeos,Maitê Laura,Igor Juan Duarte,mateusleandroduarte@santacasasjc.com.br,lXmD1I3PLt,59133390,Avenida Estrada dos Mares,279,Pajuçara,Natal,RN,8429192318,84997725405,"1,83",89,O+,preto
Beatriz Nicole Fogaça,46,97383779517,367640521,05/06/1977,Feminino,Gêmeos,Laís Nair Rosângela,Joaquim Vinicius Fogaça,beatriznicolefogaca@indaseg.com.br,L5TXcUwHu5,77403258,Rua Engenheiro Bernardo Sayão,778,Jardim Eldorado,Gurupi,TO,6336983949,63989132932,"1,57",51,AB-,preto
Flávia Lorena Silveira,24,17791909308,413583685,24/01/1999,Feminino,Aquário,Eduarda Luiza,Mário Gabriel Silveira,flavia-silveira74@dc4.com.br,Qz8ioz8QnX,69902440,Rua Elzo Rodrigues,785,Eldorado,Rio Branco,AC,6837331002,68983879749,"1,78",81,AB-,verde
Cauã Osvaldo Vieira,29,63944519167,355851659,14/01/1994,Masculino,Capricórnio,Heloise Fátima Natália,Murilo Tomás Vieira,caua-vieira74@itatiaia.net,5FqSjrNlpz,05547060,Rua Joaquim da Cunha,364,Jardim Rosa Maria,São Paulo,SP,1129170600,11985328014,"1,96",81,A+,roxo
Lúcia Juliana Carvalho,31,51197018840,467451448,20/04/1992,Feminino,Áries,Regina Valentina Stella,Pietro Paulo Carvalho,lucia_carvalho@balaiofilmes.com.br,xunJPJ5Cqr,29903117,Rua Luiz de Camões,388,Interlagos,Linhares,ES,2728499457,27982609043,"1,59",68,AB+,vermelho
Catarina Nair Agatha da Mata,28,06271206018,471504683,24/04/1995,Feminino,Touro,Clarice Rosângela Débora,Kevin César Thomas da Mata,catarina.nair.damata@bucaneiro.com.br,M1tHKxmhsM,69307280,Rua Zacaria Mendes Ribeiro,706,Paraviana,Boa Vista,RR,9528041325,95985399137,"1,79",55,B+,amarelo
Maya Adriana Milena Assunção,29,58214604257,406781801,13/05/1994,Feminino,Touro,Francisca Clara Hadassa,Anthony Iago Juan Assunção,maya_adriana_assuncao@bn.com.br,q73Ju5g8YS,77824735,Travessa 5,745,Vila Goiás,Araguaína,TO,6337286008,63991263392,"1,64",80,AB+,preto
Daniela Amanda Moura,43,53747761852,142720379,25/06/1980,Feminino,Câncer,Raquel Bianca Raimunda,Geraldo Mário Moura,daniela.amanda.moura@jonasmartinez.com,s0wSwenC7U,65900440,Rua Rui Barbosa,899,Centro,Imperatriz,MA,9825172088,98991255129,"1,69",55,AB-,azul
